classifier_name,dataset_name,accuracy
number_12,cairo_2,0.820971867007673
number_13,cairo_0,0.811224489795918
number_13,cairo_1,0.810741688131981
number_13,cairo_2,0.826086956521739
number_13,milan_0,0.827279466293404
number_13,milan_1,0.810089020771513
number_13,milan_2,0.82566765578635
number_13,kyoto7_0,0.81767955274213
number_13,kyoto7_1,0.711111111111111
number_13,kyoto7_2,0.772222218248579
number_13,kyoto8_0,0.859397419299422
number_13,kyoto8_1,0.876614058975509
number_13,kyoto8_2,0.873563219075915
number_13,kyoto11_0,0.803393798100453
number_13,kyoto11_1,0.801638385264618
number_13,kyoto11_2,0.799180327450084
number_14,cairo_0,0.831632653061224
number_14,cairo_1,0.800511509103848
number_14,cairo_2,0.83375959094528
number_14,milan_0,0.830244625659674
number_14,milan_1,0.817507418397626
number_14,milan_2,0.823442136498516
number_14,kyoto7_0,0.834254151549787
number_14,kyoto7_1,0.711111107137468
number_14,kyoto7_2,0.766666662693023
number_14,kyoto8_0,0.870875180537252
number_14,kyoto8_1,0.869440459024957
number_14,kyoto8_2,0.859195400928628
number_14,kyoto11_0,0.82153306086207
number_14,kyoto11_1,0.815681685475036
number_14,kyoto11_2,0.787470726134905
number_2,kyoto7_0,0.712707180344597
number_2,kyoto7_1,0.644444441795349
number_2,kyoto7_2,0.616666664017571
number_2,kyoto8_0,0.770444765665609
number_2,kyoto8_1,0.766140604292816
number_2,kyoto8_2,0.75
number_2,kyoto11_0,0.658864833898471
number_2,kyoto11_1,0.648917496309007
number_2,kyoto11_2,0.639929742249169
number_2,cairo_0,0.714285714285714
number_2,cairo_1,0.685421994961131
number_2,cairo_2,0.754475703324808
number_2,milan_0,0.761304670137065
number_2,milan_1,0.700296735905044
number_2,milan_2,0.730712166172107
number_3,kyoto7_0,0.756906076030836
number_3,kyoto7_1,0.688888888888888
number_3,kyoto7_2,0.722222222222222
number_3,kyoto8_0,0.794835009568048
number_3,kyoto8_1,0.80057388621047
number_3,kyoto8_2,0.784482758620689
number_3,kyoto11_0,0.692802809357573
number_3,kyoto11_1,0.698069046644386
number_3,kyoto11_2,0.710187353490387
number_3,cairo_0,0.721938775510204
number_3,cairo_1,0.777493606138107
number_3,cairo_2,0.79539641943734
number_3,milan_0,0.76056338028169
number_3,milan_1,0.758902077151335
number_3,milan_2,0.775222551928783
number_4,kyoto7_0,0.790055255863548
number_4,kyoto7_1,0.711111107137468
number_4,kyoto7_2,0.705555555555555
number_4,kyoto8_0,0.830703014708317
number_4,kyoto8_1,0.847919658061592
number_4,kyoto8_2,0.82758620552633
number_4,kyoto11_0,0.73025160986056
number_4,kyoto11_1,0.74078408460857
number_4,kyoto11_2,0.710772833025706
number_4,cairo_0,0.75765306122449
number_4,cairo_1,0.78516624071409
number_4,cairo_2,0.818414322250639
number_4,milan_0,0.80355819125278
number_4,milan_1,0.779673590504451
number_4,milan_2,0.787833827893175
number_5,cairo_0,0.765306122448979
number_5,cairo_1,0.803069054013323
number_5,cairo_2,0.810741687979539
